come,across,find unexpectedly,I came across these old photos when I was tidying the closet.
get,across,"communicate, make understandable",I tried to get my point across to the judge but she wouldn't listen.
go,after,follow somebody,My brother tried to go after the thief in his car.
go,after,try to achieve something,I went after my dream and now I am a published writer.
look,after,take care of,I have to look after my sick grandmother.
take,after,resemble a family member,I take after my mother. We are both impatient.
come,apart,separate,The top and bottom come apart if you pull hard enough.
fall,apart,break into pieces,My new dress fell apart in the washing machine.
grow,apart,stop being friends over time,My best friend and I grew apart after she changed schools.
take,apart,purposely break into pieces,He took the car brakes apart and found the problem.
ask,around,ask many people the same question,I asked around but nobody has seen my wallet.
call,around,phone many different places/people,We called around but we weren't able to find the car part we needed.
get,around,have mobility,My grandfather can get around fine in his new wheelchair.
shop,around,compare prices,I want to shop around a little before I decide on these boots.
do,away,discard,It's time to do away with all of these old tax records.
get,away,go on a vacation,We worked so hard this year that we had to get away for a week.
get,away,do without being noticed or punished,Jason always gets away with cheating in his maths tests.
give,away,reveal hidden information about somebody,His wife gave him away to the police.
give,away,take the bride to the altar,My father gave me away at my wedding.
give,away,ruin a secret,My little sister gave the surprise party away by accident.
give,away,give something to somebody for free,The library was giving away old books on Friday.
pass,away,die,His uncle passed away last night after a long illness.
run,away,"leave unexpectedly, escape",The child ran away from home and has been missing for three days.
throw,away,dispose of,We threw our old furniture away when we won the lottery.
call,back,return a phone call,I called the company back but the offices were closed for the weekend.
drop,back,move back in a position/group,Andrea dropped back to third place when she fell off her bike.
get,back,return,We got back from our vacation last week.
get,back,receive something you had before,Liz finally got her Science notes backfrom my room-mate.
get,back,"retaliate, take revenge",My sister got back at me for stealing her shoes. She stole my favourite hat.
get,back,become interested in something again,I finally got back into my novel and finished it.
give,back,return a borrowed item,I have to give these skates back to Franz before his hockey game.
go,back,return to a place,I have to go back home and get my lunch.
grow,back,regrow,My roses grew back this summer.
hold,back,prevent from doing/going,I had to hold my dog back because there was a cat in the park.
hold,back,hide an emotion,Jamie held back his tears at his grandfather's funeral.
pay,back,return owed money,Thanks for buying my ticket. I'll pay you back on Friday.
send,back,return (usually by mail),My letter got sent back to me because I used the wrong stamp.
take,back,return an item,I have to take our new TV back because it doesn't work.
think,back,"remember (often + to, sometimes + on)","When I think back on my youth, I wish I had studied harder."
cut,back,consume less,My doctor wants me to cut back onsweets and fatty foods.
break,down,"stop functioning (vehicle, machine)",Our car broke down at the side of the highway in the snowstorm.
break,down,get upset,The woman broke down when the police told her that her son had died.
break,down,divide into smaller parts,Our teacher broke the final project downinto three separate parts.
bring,down,make unhappy,This sad music is bringing me down.
calm,down,relax after being angry,You are still mad. You need to calm downbefore you drive the car.
cut,down,make something fall to the ground,We had to cut the old tree in our yard down after the storm.
fall,down,fall to the ground,The picture that you hung up last night fell down this morning.
hand,down,give something used to somebody else,I handed my old comic books down to my little cousin.
let,down,"fail to support or help, disappoint",I need you to be on time. Don't let me down this time.
look,down,"think less of, consider inferior",Ever since we stole that chocolate bar your dad has looked down on me.
put,down,put what you are holding on a surface or floor,You can put the groceries down on the kitchen counter.
put,down,"insult, make somebody feel stupid",The students put the substitute teacher down because his pants were too short.
turn,down,"decrease the volume or strength (heat, light etc)",Please turn the TV down while the guests are here.
turn,down,refuse,I turned the job down because I don't want to move.
come,down,become sick,My nephew came down with chicken pox this weekend.
break,in,force entry to a building,Somebody broke in last night and stole our stereo.
break,in,wear something a few times so that it doesn't look/feel new,I need to break these shoes in before we run next week.
break,in,interrupt,The TV station broke in to report the news of the president's death.
check,in,arrive and register at a hotel or airport,We will get the hotel keys when we check in.
chip,in,help,If everyone chips in we can get the kitchen painted by noon.
cut,in,interrupt,Your father cut in while I was dancing with your uncle.
cut,in,pull in too closely in front of another vehicle,The bus driver got angry when that car cut in.
cut,in,start operating (of an engine or electrical device),The air conditioner cuts in when the temperature gets to 22°C.
drop,in,come without an appointment,I might drop in for tea sometime this week.
fill,in,"to write information in blanks, as on a form (BrE)","Please fill in the form with your name, address, and phone number."
give,in,reluctantly stop fighting or arguing,"My boyfriend didn't want to go to the ballet, but he finally gave in."
hand,in,submit,I have to hand in my essay by Friday.
hang,in,stay positive (informal),Hang in there. I'm sure you'll find a job very soon.
let,in,allow to enter,Can you let the cat in before you go to school?
log,in,"sign in (to a website, database etc)",I can't log in to Facebook because I've forgotten my password.
call,off,cancel,Jason called the wedding off because he wasn't in love with his fiancé.
cut,off,remove with something sharp,The doctors cut off his leg because it was severely injured.
cut,off,stop providing,The phone company cut off our phone because we didn't pay the bill.
